Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,17.705000,18.118000,16.864000,16.938000,16.915369,545161000
2022-05-19,16.937000,17.687000,16.733999,17.124001,17.101118,621310000
2022-05-20,17.332001,17.410000,15.755000,16.694000,16.671696,739105000
2022-05-23,16.274000,16.915001,16.179001,16.898001,16.875425,639889000
2022-05-24,16.510000,16.597000,15.780000,16.153999,16.132414,588550000
2022-05-25,16.020000,17.111000,16.000000,16.975000,16.952320,781132000
2022-05-26,16.035999,18.091999,16.021999,17.851000,17.827148,996575000
2022-05-27,18.186001,18.881001,18.100000,18.811001,18.785870,738379000
2022-05-31,18.980000,19.200001,18.350000,18.672001,18.647055,664100000
2022-06-01,18.724001,19.052999,18.122000,18.320000,18.295525,544514000
2022-06-02,18.292000,19.618999,18.198000,19.591999,19.565825,648656000
2022-06-03,19.082001,19.332001,18.521999,18.719999,18.694988,598779000
2022-06-06,19.139000,19.337000,18.563999,18.785999,18.760900,422406000
2022-06-07,18.472000,19.000000,18.188000,18.926001,18.900717,388914000
2022-06-08,18.799000,19.180000,18.535000,18.648001,18.627022,363252000
2022-06-09,18.481001,18.933001,18.041000,18.048000,18.027697,395574000
2022-06-10,17.600000,17.697001,16.868999,16.974001,16.954906,465248000
2022-06-13,16.000000,16.312000,15.606000,15.647000,15.629399,604153000
2022-06-14,15.731000,16.066000,15.412000,15.836000,15.818188,469680000
2022-06-15,16.094999,16.868000,15.926000,16.527000,16.508411,563936000
2022-06-16,15.860000,15.942000,15.401000,15.601000,15.583450,545749000
2022-06-17,15.648000,15.995000,15.328000,15.880000,15.862136,630334000
2022-06-21,16.475000,17.007999,16.407000,16.566000,16.547365,483089000
2022-06-22,16.226000,16.662001,16.180000,16.360001,16.341597,437135000
2022-06-23,16.518999,16.584999,15.853000,16.225000,16.206749,463680000
2022-06-24,16.500000,17.139999,16.309999,17.125999,17.106735,472153000
2022-06-27,17.312000,17.330000,16.625999,16.868999,16.850023,427968000
2022-06-28,16.900000,17.202000,15.945000,15.982000,15.964022,461149000
2022-06-29,15.814000,15.820000,15.170000,15.542000,15.524516,482352000
2022-06-30,15.361000,15.567000,14.862000,15.159000,15.141947,686070000
2022-07-01,14.899000,15.063000,14.392000,14.523000,14.506662,577610000
2022-07-05,14.175000,14.971000,14.055000,14.964000,14.947165,651397000
2022-07-06,15.010000,15.319000,14.789000,15.130000,15.112980,529066000
2022-07-07,15.456000,15.945000,15.389000,15.858000,15.840160,492903000
2022-07-08,15.430000,16.037001,15.389000,15.838000,15.820183,467972000
2022-07-11,15.526000,15.527000,15.038000,15.152000,15.134956,437321000
2022-07-12,15.268000,15.431000,14.877000,15.082000,15.065034,458483000
2022-07-13,14.590000,15.375000,14.465000,15.164000,15.146943,521918000
2022-07-14,15.108000,15.473000,14.728000,15.372000,15.354708,456235000
2022-07-15,15.659000,15.782000,15.445000,15.762000,15.744269,385935000
2022-07-18,16.302000,16.896999,16.002001,16.101000,16.082886,670517000
2022-07-19,16.486000,17.110001,16.172001,16.992001,16.972885,702366000
2022-07-20,16.947001,17.933001,16.801001,17.806999,17.786968,760538000
2022-07-21,17.885000,18.143999,17.545000,18.049999,18.029694,557049000
2022-07-22,17.893000,17.966999,17.136999,17.319000,17.299519,536671000
2022-07-25,17.018999,17.124001,16.649000,17.024000,17.004850,480748000
2022-07-26,16.889000,16.919001,16.478001,16.533001,16.514402,397865000
2022-07-27,17.032000,17.936001,16.913000,17.790001,17.769987,569776000
2022-07-28,17.975000,18.139999,17.440001,17.983999,17.963768,474646000
2022-07-29,17.813000,18.243999,17.691999,18.163000,18.142565,435460000
2022-08-01,18.181999,18.846001,17.990000,18.441000,18.420256,476469000
